Version,3.0.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
eng16rgs,eng,16rgs,16S Ribosomal Gene Sequencing,An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.,NA,3.0.0,3.0.0,added in V3.0.0,
enga1306s,eng,a1306s,a1306s delta-variant gene target,a1306s delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga1918v,eng,a1918v,a1918v delta-variant gene target,a1918v delta-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga2710t,eng,a2710t,a2710t omicron-variant gene target,a2710t omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga63t,eng,a63t,a63t omicron-variant gene target,a63t omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga67v,eng,a67v,a67v omicron-variant gene target,a67v omicron-variant mutation gene target,NA,2.0.0,2.0.0,added in V2.0.0,
enga67vDel69Del70,eng,a67vDel69Del70,Omicron Variant a67v del69 and del70 mutations,"Omicron Variant a67v mutation mutation, and del 69 and del70 mutations co-occuring",NA,2.2.0,2.2.0,added in V2.2.0,
engaas,eng,aas,Atline Analyzer,Atline analyzer with sampler.,An atline analyzer with sampler.,1.0.0,2.0.0,"description wording, structure",
engabricate,eng,abricate,ABRicate Software,Software tool for screening bacterial genomes against multiple resistance databases.,NA,3.0.0,3.0.0,added in V3.0.0,
engabsHum,eng,absHum,Absolute humidity,A measure of the total mass of water vapour present in the air per volume of air.,NA,2.0.0,2.0.0,added in V2.0.0,
engabsHumidUnitSet,eng,absHumidUnitSet,Absolute humidity unit set,Unit set for absolute humidity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engabyss,eng,abyss,ABySS,"A sequencing software that is a scalable de novo assembler for large genomes, designed for distributed computing.",NA,3.0.0,3.0.0,added in V3.0.0,
